feature,importance
getting_information,0.08509408745601553
problem_sensitivity,0.05029615690812335
developing_and_building_teams,0.041881331724943675
deductive_reasoning,0.038773521441556005
performing_general_physical_activities,0.027707803290819667
"communicating_with_supervisors,_peers,_or_subordinates",0.02546679019693671
providing_consultation_and_advice_to_others,0.023527497739547
coaching_and_developing_others,0.0215696818378992
controlling_machines_and_processes,0.021102577291805723
resolving_conflicts_and_negotiating_with_others,0.02088508275219959
oral_expression,0.020236206233970246
updating_and_using_relevant_knowledge,0.01969700240842623
establishing_and_maintaining_interpersonal_relationships,0.018851810721231755
inductive_reasoning,0.01791936008735961
interpreting_the_meaning_of_information_for_others,0.01763648001194783
performing_for_or_working_directly_with_the_public,0.016667286255688075
repairing_and_maintaining_electronic_equipment,0.01663134684994081
fluency_of_ideas,0.016495418551429452
monitoring_and_controlling_resources,0.016221587882045918
assisting_and_caring_for_others,0.015431338353050222
staffing_organizational_units,0.01491842384722488
"drafting,_laying_out,_and_specifying_technical_devices,_parts,_and_equipment",0.014880998021072168
developing_objectives_and_strategies,0.014031596202571028
"judging_the_qualities_of_objects,_services,_or_people",0.013564473445915467
"identifying_objects,_actions,_and_events",0.013111242177811573
"operating_vehicles,_mechanized_devices,_or_equipment",0.012799568316517802
selling_or_influencing_others,0.011277025532843822
analyzing_data_or_information,0.010707898189732813
communicating_with_people_outside_the_organization,0.010483058900453687
handling_and_moving_objects,0.01045719268503245
making_decisions_and_solving_problems,0.01011380012611674
speech_clarity,0.009841329363710882
evaluating_information_to_determine_compliance_with_standards,0.009728379999310404
"estimating_the_quantifiable_characteristics_of_products,_events,_or_information",0.009516680338682137
documenting_recording_information,0.009508276413871477
scheduling_work_and_activities,0.008951187297897935
coordinating_the_work_and_activities_of_others,0.00891924353116538
"organizing,_planning,_and_prioritizing_work",0.008777338495198812
memorization,0.00859275020378884
thinking_creatively,0.008413150181879367
"inspecting_equipment,_structures,_or_materials",0.008274902043169316
performing_administrative_activities,0.008069002795442325
training_and_teaching_others,0.008046508339366666
visualization,0.007873637377209104
working_with_computers,0.007805740204162676
"monitoring_processes,_materials,_or_surroundings",0.007623804109563052
near_vision,0.007357877117827944
finger_dexterity,0.007348625981658305
perceptual_speed,0.007281386396418089
repairing_and_maintaining_mechanical_equipment,0.007225844591474396
"guiding,_directing,_and_motivating_subordinates",0.007112721221118457
written_comprehension,0.00682022420198581
oral_comprehension,0.0064733043805911515
arm_hand_steadiness,0.00616593102618933
time_sharing,0.006092489074082612
auditory_attention,0.00592969780520028
wrist_finger_speed,0.005810873780773766
processing_information,0.005623063944587341
originality,0.00559090354025887
rate_control,0.005365062723293183
flexibility_of_closure,0.005092215636569285
far_vision,0.004985114409348969
visual_color_discrimination,0.004947742820669897
information_ordering,0.004833688939956051
selective_attention,0.004802647730207044
speed_of_limb_movement,0.0046726520546608195
trunk_strength,0.004501944735904213
gross_body_equilibrium,0.004444122599802269
speed_of_closure,0.00429096108806442
mathematical_reasoning,0.004122056724897963
category_flexibility,0.0038676436191862717
speech_recognition,0.003845130965372221
number_facility,0.003834990398156608
manual_dexterity,0.0037062401395810767
explosive_strength,0.0036876582422569436
hearing_sensitivity,0.003683245254261718
dynamic_strength,0.0035671866586429756
stamina,0.003154514103756844
spatial_orientation,0.0031182759175912454
static_strength,0.0030334210694971265
depth_perception,0.003002884017209781
reaction_time,0.002625708204237813
control_precision,0.0026148431737499406
glare_sensitivity,0.002521565383470562
written_expression,0.0024474222772795286
gross_body_coordination,0.0022509641861967553
dynamic_flexibility,0.0022150166893595896
response_orientation,0.0021428456843038037
multilimb_coordination,0.0021425309042251493
sound_localization,0.002031518774049676
extent_flexibility,0.0018969293664863984
night_vision,0.001733539992104765
peripheral_vision,0.0016051963188353769
