feature,importance
written_expression,0.08446134749348107
information_ordering,0.04459893295045642
"estimating_the_quantifiable_characteristics_of_products,_events,_or_information",0.03544954280836721
evaluating_information_to_determine_compliance_with_standards,0.03189402846865851
analyzing_data_or_information,0.03137908563695186
making_decisions_and_solving_problems,0.029504683830280157
perceptual_speed,0.02782966721389165
training_and_teaching_others,0.02606886162916084
"identifying_objects,_actions,_and_events",0.02469179658396018
problem_sensitivity,0.024502720361307434
"drafting,_laying_out,_and_specifying_technical_devices,_parts,_and_equipment",0.02400969719964659
speed_of_closure,0.023074163925191477
flexibility_of_closure,0.022905155179455995
deductive_reasoning,0.022883778813530268
interpreting_the_meaning_of_information_for_others,0.018865564334906937
"organizing,_planning,_and_prioritizing_work",0.018844394731967713
near_vision,0.018508803658926543
"monitoring_processes,_materials,_or_surroundings",0.01799706118215285
auditory_attention,0.017976631393913933
getting_information,0.016550730352971655
updating_and_using_relevant_knowledge,0.015140113700852
monitoring_and_controlling_resources,0.014980306724238964
inductive_reasoning,0.014814485969975736
assisting_and_caring_for_others,0.014055530499937689
"judging_the_qualities_of_objects,_services,_or_people",0.013571074855776024
performing_for_or_working_directly_with_the_public,0.01223502632947709
fluency_of_ideas,0.012160624423585457
performing_administrative_activities,0.011859373029563728
finger_dexterity,0.011529287979020222
thinking_creatively,0.011196590208581981
developing_objectives_and_strategies,0.010413562387435758
resolving_conflicts_and_negotiating_with_others,0.00965049893624561
coaching_and_developing_others,0.00907328441382581
mathematical_reasoning,0.00885550220861396
documenting_recording_information,0.008779417586246167
working_with_computers,0.008502840953592565
category_flexibility,0.008265844593332558
written_comprehension,0.008014040399796304
gross_body_equilibrium,0.007736539637181076
visualization,0.007566572332733294
extent_flexibility,0.007513171919750489
scheduling_work_and_activities,0.007260214383969362
establishing_and_maintaining_interpersonal_relationships,0.006876768645829164
communicating_with_people_outside_the_organization,0.006783361972957559
"operating_vehicles,_mechanized_devices,_or_equipment",0.006575012324336297
hearing_sensitivity,0.006404140528180523
providing_consultation_and_advice_to_others,0.006395481825617098
glare_sensitivity,0.006133441401681481
"inspecting_equipment,_structures,_or_materials",0.006126386402005511
handling_and_moving_objects,0.005950376163965378
"communicating_with_supervisors,_peers,_or_subordinates",0.005889972178299954
processing_information,0.005876976316518759
depth_perception,0.005212462340717915
repairing_and_maintaining_mechanical_equipment,0.005204488668028258
selling_or_influencing_others,0.005143124235801364
trunk_strength,0.004935288275278082
developing_and_building_teams,0.004921941691465103
performing_general_physical_activities,0.004622034306978547
coordinating_the_work_and_activities_of_others,0.004533088095913799
number_facility,0.0043822890618598
rate_control,0.004341046953942534
staffing_organizational_units,0.004340169738992029
arm_hand_steadiness,0.00432743930410444
explosive_strength,0.004298176706349488
time_sharing,0.004172536196858328
response_orientation,0.004165298651453282
repairing_and_maintaining_electronic_equipment,0.004075148588571211
wrist_finger_speed,0.004035466390638785
"guiding,_directing,_and_motivating_subordinates",0.003951818199809585
controlling_machines_and_processes,0.0038871141991644346
control_precision,0.0037964452738281063
speed_of_limb_movement,0.0037860135545907505
stamina,0.00374586816498064
visual_color_discrimination,0.0035079843753449682
reaction_time,0.0033633416941358904
spatial_orientation,0.0031992773163133357
peripheral_vision,0.0031818382628011474
manual_dexterity,0.003115645674445639
static_strength,0.0029929640274771155
far_vision,0.002988275188546533
sound_localization,0.0029055556165822408
memorization,0.0028673228336507164
night_vision,0.0025750198860913166
originality,0.0024830446590641633
selective_attention,0.002476522930263557
speech_clarity,0.002399886743035493
multilimb_coordination,0.0022951917390200615
dynamic_strength,0.001922391881087533
oral_comprehension,0.001751894190542937
oral_expression,0.0016583755374396216
dynamic_flexibility,0.0016088335384660173
speech_recognition,0.0013333241499346744
gross_body_coordination,0.0013135821741275032
